,Music genres,Popularity (mean)
81,Pop-film,59.0
65,K-pop,57.0
15,Chill,54.0
94,Sad,52.0
44,Grunge,50.0
55,Indian,50.0
5,Anime,49.0
33,Emo,48.0
80,Pop,48.0
97,Sertanejo,48.0
83,Progressive-house,47.0
79,Piano,45.0
70,Mandopop,45.0
23,Deep-house,45.0
9,Brazil,45.0
